iter	Passed	Remaining
0	56	56516
1	56	28403
2	57	19020
3	58	14505
4	58	11656
5	58	9755
6	59	8396
7	59	7382
8	59	6586
9	60	5948
10	60	5430
11	60	4999
12	61	4631
13	61	4317
14	61	4043
15	61	3803
16	62	3592
17	62	3404
18	62	3237
19	63	3087
20	63	2951
21	63	2828
22	63	2714
23	64	2611
24	64	2516
25	64	2429
26	65	2349
27	65	2273
28	65	2201
29	66	2134
30	66	2071
31	66	2011
32	66	1960
33	67	1907
34	67	1859
35	67	1815
36	68	1772
37	68	1732
38	68	1692
39	68	1655
40	69	1620
41	69	1585
42	69	1553
43	70	1522
44	70	1494
45	70	1465
46	70	1438
47	71	1412
48	71	1387
49	71	1363
50	72	1340
51	72	1317
52	72	1296
53	72	1275
54	73	1255
55	73	1236
56	73	1217
57	73	1199
58	74	1182
59	74	1165
60	74	1148
61	74	1133
62	75	1118
63	75	1103
64	75	1089
65	76	1076
66	76	1064
67	76	1049
68	76	1036
69	77	1025
70	77	1013
71	77	1001
72	77	989
73	78	978
74	78	967
75	78	957
76	78	946
77	79	936
78	79	926
79	79	916
80	79	907
81	80	898
82	80	889
83	80	881
84	81	872
85	81	864
86	81	855
87	81	847
88	82	839
89	82	832
90	82	824
91	82	817
92	83	810
93	83	803
94	83	796
95	83	789
96	84	782
97	84	776
98	84	769
99	84	763
100	85	757
101	85	749
102	85	743
103	85	738
104	86	733
105	86	727
106	86	722
107	86	716
108	86	711
109	87	705
110	87	701
111	87	696
112	88	691
113	88	686
114	88	681
115	88	676
116	89	671
117	89	667
118	89	662
119	89	658
120	90	654
121	90	650
122	90	645
123	90	641
124	91	637
125	91	633
126	91	629
127	91	625
128	92	621
129	92	618
130	92	614
131	92	610
132	93	607
133	93	603
134	93	600
135	94	601
136	94	597
137	95	593
138	95	590
139	95	586
140	95	583
141	96	580
142	96	576
143	96	573
144	97	575
145	97	572
146	98	569
147	98	566
148	98	563
149	98	560
150	99	557
151	99	554
152	99	551
153	99	548
154	100	546
155	100	543
156	101	542
157	101	539
158	101	537
159	101	534
160	102	532
161	102	530
162	102	527
163	102	525
164	103	522
165	103	520
166	103	517
167	104	515
168	104	512
169	104	510
170	104	508
171	105	505
172	105	503
173	105	501
174	105	499
175	106	497
176	106	495
177	106	493
178	107	491
179	107	488
180	107	486
181	107	483
182	107	481
183	108	479
184	108	477
185	108	475
186	108	473
187	109	471
188	109	469
189	109	468
190	110	466
191	110	464
192	110	462
193	110	460
194	111	458
195	111	457
196	111	455
197	111	453
198	112	451
199	112	449
200	112	448
201	113	446
202	113	444
203	113	443
204	113	441
205	114	439
206	114	438
207	114	436
208	114	434
209	115	432
210	115	431
211	115	429
212	115	428
213	116	426
214	116	425
215	116	423
216	117	422
217	117	420
218	117	419
219	117	417
220	117	415
221	118	414
222	118	412
223	118	411
224	119	410
225	119	408
226	119	407
227	119	405
228	120	404
229	120	402
230	120	401
231	120	400
232	121	398
233	121	397
234	121	395
235	121	394
236	122	393
237	123	394
238	123	393
239	123	391
240	123	390
241	124	389
242	124	387
243	124	386
244	125	385
245	125	384
246	125	382
247	125	381
248	126	380
249	126	378
250	126	377
251	126	376
252	127	375
253	127	374
254	127	372
255	127	371
256	128	370
257	128	369
258	128	368
259	129	367
260	129	366
261	129	364
262	129	363
263	130	362
264	130	361
265	130	360
266	130	359
267	131	357
268	131	356
269	131	355
270	131	354
271	132	353
272	132	352
273	132	351
274	132	350
275	133	349
276	133	348
277	133	347
278	134	346
279	134	345
280	134	344
281	134	343
282	135	342
283	135	341
284	135	340
285	136	339
286	136	338
287	136	337
288	136	336
289	137	335
290	137	334
291	137	333
292	137	332
293	138	331
294	138	330
295	138	329
296	138	328
297	139	327
298	139	326
299	139	325
300	139	324
301	140	323
302	140	322
303	140	322
304	140	321
305	141	320
306	141	319
307	141	318
308	142	317
309	142	316
310	142	315
311	142	314
312	143	313
313	143	313
314	143	312
315	143	311
316	144	310
317	144	309
318	144	308
319	144	307
320	145	307
321	145	306
322	145	305
323	145	304
324	146	303
325	146	302
326	146	301
327	146	301
328	147	300
329	147	299
330	147	298
331	148	298
332	148	297
333	148	296
334	149	295
335	149	295
336	149	294
337	149	293
338	150	292
339	150	291
340	150	291
341	151	290
342	151	289
343	151	288
344	151	288
345	152	287
346	152	286
347	152	285
348	152	285
349	153	284
350	153	283
351	153	282
352	153	282
353	154	281
354	154	280
355	154	279
356	154	279
357	155	278
358	155	277
359	155	276
360	155	276
361	156	275
362	156	274
363	156	273
364	157	273
365	157	272
366	157	271
367	157	270
368	158	270
369	158	269
370	158	268
371	158	268
372	159	267
373	159	266
374	159	266
375	159	265
376	160	264
377	160	264
378	160	263
379	160	262
380	161	261
381	161	261
382	161	260
383	162	259
384	162	259
385	162	258
386	162	258
387	163	257
388	163	256
389	163	255
390	163	255
391	164	254
392	164	253
393	165	254
394	165	253
395	165	252
396	166	252
397	166	251
398	166	251
399	166	250
400	167	249
401	167	249
402	167	248
403	167	247
404	168	247
405	168	246
406	168	245
407	169	245
408	169	244
409	169	244
410	169	243
411	170	242
412	170	242
413	170	241
414	170	241
415	171	240
416	171	239
417	171	239
418	172	238
419	172	237
420	172	237
421	172	236
422	173	235
423	173	235
424	173	234
425	173	234
426	174	233
427	174	232
428	174	232
429	174	231
430	175	231
431	175	230
432	175	229
433	175	229
434	176	228
435	176	228
436	176	227
437	177	227
438	177	226
439	177	226
440	177	225
441	178	225
442	178	224
443	178	223
444	179	223
445	179	222
446	179	222
447	179	221
448	180	221
449	180	220
450	180	219
451	180	219
452	181	218
453	181	218
454	181	217
455	182	217
456	182	216
457	182	216
458	182	215
459	183	215
460	183	214
461	183	213
462	184	213
463	184	212
464	184	212
465	184	211
466	185	211
467	185	210
468	185	210
469	185	209
470	186	209
471	186	208
472	186	208
473	186	207
474	187	206
475	187	206
476	187	205
477	187	205
478	188	204
479	188	204
480	188	203
481	189	203
482	189	202
483	189	202
484	189	201
485	190	201
486	190	200
487	190	200
488	190	199
489	191	198
490	191	198
491	191	197
492	191	197
493	192	196
494	192	196
495	192	195
496	192	195
497	193	194
498	193	194
499	193	193
500	193	193
501	194	192
502	194	192
503	194	191
504	195	191
505	195	190
506	195	190
507	195	189
508	196	189
509	196	188
510	196	188
511	196	187
512	197	187
513	197	186
514	197	186
515	197	185
516	198	185
517	198	184
518	198	184
519	198	183
520	199	183
521	199	182
522	199	182
523	199	181
524	200	181
525	200	180
526	200	180
527	200	179
528	201	179
529	201	178
530	201	178
531	202	177
532	202	177
533	202	176
534	202	176
535	203	175
536	203	175
537	203	174
538	203	174
539	204	173
540	204	173
541	204	172
542	204	172
543	204	171
544	205	171
545	205	170
546	205	170
547	206	169
548	206	169
549	206	168
550	206	168
551	207	168
552	207	167
553	207	167
554	207	166
555	208	166
556	208	165
557	208	165
558	208	164
559	209	164
560	209	163
561	209	163
562	209	162
563	210	162
564	210	162
565	210	161
566	210	161
567	211	160
568	211	160
569	211	159
570	212	159
571	212	158
572	212	158
573	212	157
574	213	157
575	213	157
576	213	156
577	213	156
578	214	155
579	214	155
580	214	154
581	214	154
582	215	153
583	215	153
584	215	152
585	215	152
586	216	152
587	216	151
588	216	151
589	216	150
590	217	150
591	217	149
592	217	149
593	218	149
594	218	148
595	218	148
596	218	147
597	219	147
598	219	146
599	219	146
600	219	146
601	220	145
602	220	145
603	220	144
604	220	144
605	221	143
606	221	143
607	221	142
608	222	142
609	222	142
610	222	141
611	222	141
612	223	140
613	223	140
614	223	140
615	223	139
616	224	139
617	224	138
618	224	138
619	224	137
620	225	137
621	225	137
622	225	136
623	226	136
624	226	135
625	226	135
626	226	134
627	227	134
628	227	134
629	227	133
630	227	133
631	228	132
632	228	132
633	228	132
634	228	131
635	229	131
636	229	130
637	229	130
638	229	129
639	230	129
640	230	129
641	230	128
642	231	128
643	231	127
644	231	127
645	231	127
646	232	126
647	232	126
648	232	125
649	232	125
650	233	125
651	233	124
652	233	124
653	233	123
654	234	123
655	234	122
656	234	122
657	235	122
658	235	121
659	235	121
660	235	120
661	236	120
662	236	120
663	236	119
664	236	119
665	237	118
666	237	118
667	237	118
668	238	117
669	238	117
670	238	116
671	238	116
672	239	116
673	239	115
674	239	115
675	239	115
676	240	114
677	240	114
678	240	113
679	240	113
680	241	112
681	241	112
682	241	112
683	241	111
684	242	111
685	242	111
686	242	110
687	243	110
688	243	109
689	243	109
690	243	109
691	244	108
692	244	108
693	244	107
694	245	107
695	245	107
696	245	106
697	245	106
698	246	105
699	246	105
700	246	105
701	247	104
702	247	104
703	247	104
704	247	103
705	248	103
706	248	102
707	248	102
708	248	102
709	249	101
710	249	101
711	249	100
712	249	100
713	250	100
714	250	99
715	250	99
716	250	99
717	251	98
718	251	98
719	251	97
720	251	97
721	252	97
722	252	96
723	252	96
724	252	95
725	253	95
726	253	95
727	253	94
728	253	94
729	254	94
730	254	93
731	254	93
732	255	92
733	255	92
734	255	92
735	255	91
736	256	91
737	256	91
738	256	90
739	257	90
740	257	89
741	257	89
742	257	89
743	258	88
744	258	88
745	258	88
746	258	87
747	259	87
748	259	86
749	259	86
750	259	86
751	260	85
752	260	85
753	260	85
754	260	84
755	261	84
756	261	83
757	261	83
758	261	83
759	262	82
760	262	82
761	262	82
762	263	81
763	263	81
764	263	80
765	263	80
766	264	80
767	264	79
768	264	79
769	264	79
770	265	78
771	265	78
772	265	78
773	265	77
774	266	77
775	266	76
776	266	76
777	267	76
778	267	75
779	267	75
780	267	75
781	268	74
782	268	74
783	268	74
784	268	73
785	269	73
786	269	72
787	269	72
788	269	72
789	270	71
790	270	71
791	270	71
792	271	70
793	271	70
794	271	70
795	272	69
796	272	69
797	272	68
798	272	68
799	273	68
800	273	67
801	273	67
802	273	67
803	274	66
804	274	66
805	274	66
806	275	65
807	275	65
808	275	65
809	275	64
810	276	64
811	276	63
812	276	63
813	276	63
814	277	62
815	277	62
816	277	62
817	277	61
818	278	61
819	278	61
820	278	60
821	278	60
822	279	60
823	279	59
824	279	59
825	279	58
826	280	58
827	280	58
828	280	57
829	281	57
830	281	57
831	281	56
832	281	56
833	282	56
834	282	55
835	282	55
836	283	55
837	283	54
838	284	54
839	284	54
840	284	53
841	284	53
842	285	53
843	285	52
844	285	52
845	285	52
846	286	51
847	286	51
848	286	50
849	286	50
850	287	50
851	287	49
852	287	49
853	287	49
854	288	48
855	288	48
856	288	48
857	289	47
858	289	47
859	289	47
860	289	46
861	290	46
862	290	46
863	290	45
864	290	45
865	291	45
866	291	44
867	291	44
868	291	43
869	292	43
870	292	43
871	292	42
872	292	42
873	293	42
874	293	41
875	293	41
876	293	41
877	294	40
878	294	40
879	294	40
