iter	Passed	Remaining
0	57	57916
1	58	29095
2	58	19492
3	58	14684
4	59	11807
5	59	9890
6	59	8506
7	60	7563
8	61	6749
9	61	6101
10	61	5573
11	62	5131
12	62	4752
13	62	4428
14	63	4149
15	63	3903
16	63	3689
17	64	3499
18	64	3328
19	64	3176
20	65	3036
21	65	2909
22	65	2793
23	66	2686
24	66	2587
25	66	2496
26	66	2413
27	67	2333
28	67	2261
29	67	2193
30	68	2130
31	68	2070
32	68	2014
33	69	1961
34	69	1912
35	69	1865
36	69	1819
37	70	1777
38	70	1737
39	70	1698
40	71	1661
41	71	1627
42	71	1595
43	71	1564
44	72	1534
45	72	1504
46	72	1477
47	73	1450
48	73	1425
49	73	1400
50	73	1376
51	74	1353
52	74	1331
53	74	1310
54	75	1289
55	75	1269
56	75	1250
57	75	1231
58	76	1214
59	76	1197
60	76	1180
61	77	1166
62	77	1152
63	77	1138
64	78	1123
65	78	1109
66	78	1095
67	78	1081
68	79	1069
69	79	1056
70	79	1045
71	80	1033
72	80	1020
73	80	1009
74	80	998
75	81	995
76	82	985
77	82	974
78	82	964
79	82	954
80	83	944
81	83	934
82	83	923
83	83	914
84	84	904
85	84	896
86	84	887
87	84	879
88	85	870
89	85	862
90	85	854
91	85	847
92	86	839
93	86	832
94	86	824
95	86	817
96	87	811
97	87	803
98	87	797
99	87	790
100	88	784
101	88	778
102	88	772
103	88	766
104	89	760
105	89	754
106	89	748
107	89	743
108	90	738
109	90	734
110	90	728
111	91	723
112	91	717
113	91	712
114	91	707
115	92	702
116	92	696
117	92	691
118	92	687
119	93	682
120	93	677
121	93	672
122	93	668
123	93	663
124	94	659
125	94	655
126	94	650
127	94	646
128	95	643
129	95	639
130	95	635
131	96	631
132	96	627
133	96	623
134	96	619
135	96	616
136	97	612
137	97	608
138	97	605
139	98	602
140	98	598
141	98	594
142	98	591
143	99	588
144	99	585
145	99	582
146	99	579
147	100	576
148	100	573
149	100	570
150	100	567
151	101	564
152	101	561
153	101	558
154	102	559
155	102	557
156	103	554
157	103	551
158	103	549
159	104	546
160	104	543
161	104	540
162	104	538
163	105	535
164	105	532
165	105	530
166	105	527
167	106	525
168	106	523
169	106	520
170	107	518
171	107	516
172	107	513
173	107	511
174	108	509
175	108	507
176	108	505
177	108	502
178	109	500
179	109	498
180	109	496
181	110	494
182	110	492
183	110	490
184	110	488
185	111	486
186	111	484
187	111	482
188	111	480
189	112	478
190	112	477
191	113	475
192	113	473
193	113	471
194	113	469
195	114	468
196	114	466
197	114	464
198	114	462
199	115	461
200	115	459
201	115	457
202	116	455
203	116	454
204	116	452
205	116	450
206	117	448
207	117	447
208	117	445
209	118	444
210	118	442
211	118	440
212	118	439
213	119	437
214	119	435
215	119	434
216	119	432
217	120	430
218	120	429
219	120	427
220	120	426
221	121	424
222	121	422
223	121	421
224	121	420
225	122	418
226	122	417
227	122	415
228	123	414
229	123	412
230	123	411
231	123	409
232	124	409
233	124	407
234	124	406
235	125	404
236	125	403
237	125	401
238	125	400
239	126	399
240	126	397
241	126	396
242	126	395
243	127	393
244	127	392
245	127	391
246	127	389
247	128	388
248	128	387
249	128	386
250	128	384
251	129	383
252	129	382
253	129	380
254	129	379
255	130	378
256	130	377
257	130	376
258	131	374
259	131	373
260	131	372
261	131	371
262	132	370
263	132	369
264	132	367
265	132	366
266	133	365
267	133	364
268	133	363
269	133	361
270	134	360
271	134	359
272	134	358
273	134	357
274	135	356
275	135	355
276	135	354
277	135	353
278	136	352
279	136	351
280	136	349
281	137	349
282	137	348
283	137	347
284	138	346
285	138	345
286	138	344
287	138	343
288	139	342
289	139	341
290	139	340
291	139	339
292	140	338
293	140	337
294	140	336
295	141	335
296	141	334
297	141	333
298	141	332
299	142	331
300	142	331
301	142	330
302	143	329
303	143	328
304	143	327
305	143	326
306	144	325
307	144	324
308	144	323
309	144	322
310	145	321
311	146	322
312	146	321
313	146	320
314	146	319
315	147	318
316	147	317
317	147	316
318	148	316
319	148	315
320	148	314
321	148	313
322	149	312
323	149	311
324	149	310
325	149	310
326	150	309
327	150	308
328	150	307
329	151	306
330	151	305
331	151	305
332	151	304
333	152	303
334	152	302
335	152	301
336	152	300
337	153	299
338	153	299
339	153	298
340	153	297
341	154	296
342	154	295
343	154	295
344	155	294
345	155	293
346	155	292
347	155	292
348	156	291
349	156	290
350	156	289
351	156	288
352	157	288
353	157	287
354	157	286
355	158	285
356	158	285
357	158	284
358	158	283
359	159	283
360	159	282
361	159	281
362	160	280
363	160	280
364	160	279
365	161	280
366	161	279
367	162	278
368	162	277
369	162	277
370	163	276
371	163	275
372	163	274
373	163	274
374	164	273
375	164	272
376	164	272
377	164	271
378	165	270
379	165	269
380	165	269
381	165	268
382	166	267
383	166	267
384	166	266
385	167	265
386	167	265
387	167	264
388	167	263
389	168	263
390	168	262
391	168	261
392	168	261
393	169	260
394	169	259
395	169	259
396	170	258
397	170	257
398	170	257
399	170	256
400	171	255
401	171	255
402	171	254
403	172	253
404	172	253
405	172	252
406	172	251
407	173	251
408	173	250
409	173	249
410	173	249
411	174	248
412	174	248
413	174	247
414	174	246
415	175	245
416	175	245
417	175	244
418	176	244
419	176	243
420	176	242
421	176	242
422	177	241
423	177	241
424	177	240
425	178	239
426	178	239
427	178	238
428	178	237
429	179	237
430	179	236
431	179	236
432	179	235
433	180	235
434	180	234
435	180	233
436	181	233
437	181	232
438	181	232
439	181	231
440	182	230
441	182	230
442	182	229
443	182	229
444	183	228
445	183	227
446	183	227
447	184	226
448	184	226
449	184	225
450	185	225
451	185	224
452	185	224
453	185	223
454	186	222
455	186	222
456	186	221
457	186	221
458	187	220
459	187	220
460	187	219
461	188	219
462	188	218
463	188	217
464	188	217
465	189	216
466	189	216
467	189	215
468	189	215
469	190	214
470	190	213
471	190	213
472	190	212
473	191	212
474	191	211
475	191	211
476	191	210
477	192	209
478	192	209
479	192	208
480	192	208
481	193	207
482	193	207
483	193	206
484	194	206
485	194	205
486	194	204
487	194	204
488	195	203
489	195	203
490	195	202
491	196	202
492	196	201
493	196	201
494	196	200
495	197	200
496	197	199
497	197	199
498	197	198
499	198	198
500	198	197
501	198	197
502	198	196
503	199	196
504	199	195
505	199	194
506	200	194
507	200	194
508	200	193
509	200	192
510	201	192
511	201	191
512	201	191
513	201	190
514	202	190
515	202	189
516	202	189
517	202	188
518	203	188
519	203	187
520	203	187
521	204	186
522	204	186
523	204	185
524	204	185
525	205	184
526	205	184
527	205	183
528	206	183
529	206	182
530	206	182
531	206	182
532	207	181
533	207	181
534	207	180
535	207	180
536	208	179
537	208	179
538	208	178
539	208	178
540	210	178
541	210	177
542	210	177
543	210	176
544	211	176
545	211	175
546	211	175
547	211	174
548	212	174
549	212	173
550	212	173
551	212	172
552	213	172
553	213	171
554	213	171
555	213	170
556	214	170
557	214	169
558	214	169
559	215	168
560	215	168
561	215	168
562	215	167
563	216	167
564	216	166
565	216	166
566	216	165
567	217	165
568	217	164
569	217	164
570	217	163
571	218	163
572	218	162
573	218	162
574	219	161
575	219	161
576	219	161
577	219	160
578	220	160
579	220	159
580	220	159
581	221	158
582	221	158
583	221	157
584	221	157
585	222	156
586	222	156
587	222	155
588	222	155
589	223	155
590	223	154
591	223	154
592	223	153
593	224	153
594	224	152
595	224	152
596	225	151
597	225	151
598	225	151
599	225	150
600	226	150
601	226	149
602	226	149
603	227	148
604	227	148
605	227	147
606	227	147
607	228	147
608	228	146
609	228	146
610	228	145
611	229	145
612	229	144
613	229	144
614	230	143
615	230	143
616	230	143
617	230	142
618	231	142
619	231	141
620	231	141
621	231	140
622	232	140
623	232	140
624	232	139
625	233	139
626	233	138
627	233	138
628	233	137
629	234	137
630	234	137
631	234	136
632	235	136
633	235	135
634	235	135
635	235	134
636	236	134
637	236	134
638	236	133
639	236	133
640	237	132
641	237	132
642	237	132
643	238	131
644	238	131
645	238	130
646	239	130
647	239	130
648	239	129
649	239	129
650	240	128
651	240	128
652	240	127
653	241	127
654	241	127
655	241	126
656	241	126
657	242	125
658	242	125
659	242	124
660	242	124
661	243	124
662	243	123
663	243	123
664	243	122
665	244	122
666	244	122
667	244	121
668	244	121
669	245	120
670	245	120
671	245	119
672	246	119
673	246	119
674	246	118
675	246	118
676	247	117
677	247	117
678	247	117
679	247	116
680	248	116
681	248	115
682	248	115
683	249	115
684	249	114
685	249	114
686	249	113
687	250	113
688	250	112
689	250	112
690	250	112
691	251	111
692	251	111
693	251	110
694	251	110
695	252	110
696	252	109
697	252	109
698	253	108
699	253	108
700	253	108
701	253	107
702	254	107
703	254	107
704	254	106
705	255	106
706	255	105
707	255	105
708	255	105
709	256	104
710	256	104
711	256	103
